PING 10.27.20.10 (10.27.20.10) 56(84) bytes of data.
64 bytes from 10.27.20.10: icmp_seq=1 ttl=58 time=8.63 ms
64 bytes from 10.27.20.10: icmp_seq=2 ttl=58 time=0.975 ms
64 bytes from 10.27.20.10: icmp_seq=3 ttl=58 time=3.84 ms
64 bytes from 10.27.20.10: icmp_seq=4 ttl=58 time=1.39 ms
64 bytes from 10.27.20.10: icmp_seq=5 ttl=58 time=4.99 ms
64 bytes from 10.27.20.10: icmp_seq=6 ttl=58 time=0.731 ms
64 bytes from 10.27.20.10: icmp_seq=7 ttl=58 time=0.701 ms
64 bytes from 10.27.20.10: icmp_seq=8 ttl=58 time=0.926 ms
64 bytes from 10.27.20.10: icmp_seq=9 ttl=58 time=1.54 ms
64 bytes from 10.27.20.10: icmp_seq=10 ttl=58 time=1.97 ms
64 bytes from 10.27.20.10: icmp_seq=11 ttl=58 time=0.692 ms
64 bytes from 10.27.20.10: icmp_seq=12 ttl=58 time=1.17 ms
64 bytes from 10.27.20.10: icmp_seq=13 ttl=58 time=1.97 ms
64 bytes from 10.27.20.10: icmp_seq=14 ttl=58 time=3.59 ms
64 bytes from 10.27.20.10: icmp_seq=15 ttl=58 time=1.35 ms
64 bytes from 10.27.20.10: icmp_seq=16 ttl=58 time=0.570 ms
64 bytes from 10.27.20.10: icmp_seq=17 ttl=58 time=8.78 ms
64 bytes from 10.27.20.10: icmp_seq=18 ttl=58 time=1.62 ms
64 bytes from 10.27.20.10: icmp_seq=19 ttl=58 time=1.37 ms
64 bytes from 10.27.20.10: icmp_seq=20 ttl=58 time=0.751 ms
64 bytes from 10.27.20.10: icmp_seq=21 ttl=58 time=0.796 ms
64 bytes from 10.27.20.10: icmp_seq=22 ttl=58 time=1.52 ms
64 bytes from 10.27.20.10: icmp_seq=23 ttl=58 time=1.86 ms
64 bytes from 10.27.20.10: icmp_seq=24 ttl=58 time=1.15 ms
64 bytes from 10.27.20.10: icmp_seq=25 ttl=58 time=1.55 ms
64 bytes from 10.27.20.10: icmp_seq=26 ttl=58 time=0.574 ms
64 bytes from 10.27.20.10: icmp_seq=27 ttl=58 time=2.59 ms
64 bytes from 10.27.20.10: icmp_seq=28 ttl=58 time=3.21 ms
64 bytes from 10.27.20.10: icmp_seq=29 ttl=58 time=1.18 ms
64 bytes from 10.27.20.10: icmp_seq=30 ttl=58 time=1.73 ms
64 bytes from 10.27.20.10: icmp_seq=31 ttl=58 time=0.841 ms
64 bytes from 10.27.20.10: icmp_seq=32 ttl=58 time=1.18 ms
64 bytes from 10.27.20.10: icmp_seq=33 ttl=58 time=0.754 ms
64 bytes from 10.27.20.10: icmp_seq=34 ttl=58 time=3.43 ms
64 bytes from 10.27.20.10: icmp_seq=35 ttl=58 time=1.23 ms
64 bytes from 10.27.20.10: icmp_seq=36 ttl=58 time=1.04 ms
64 bytes from 10.27.20.10: icmp_seq=37 ttl=58 time=1.34 ms
64 bytes from 10.27.20.10: icmp_seq=38 ttl=58 time=3.59 ms
64 bytes from 10.27.20.10: icmp_seq=39 ttl=58 time=5.75 ms
64 bytes from 10.27.20.10: icmp_seq=40 ttl=58 time=1.30 ms
64 bytes from 10.27.20.10: icmp_seq=41 ttl=58 time=0.862 ms
64 bytes from 10.27.20.10: icmp_seq=42 ttl=58 time=1.49 ms
64 bytes from 10.27.20.10: icmp_seq=43 ttl=58 time=1.57 ms
64 bytes from 10.27.20.10: icmp_seq=44 ttl=58 time=2.71 ms
64 bytes from 10.27.20.10: icmp_seq=45 ttl=58 time=1.96 ms
64 bytes from 10.27.20.10: icmp_seq=46 ttl=58 time=2.42 ms
64 bytes from 10.27.20.10: icmp_seq=47 ttl=58 time=1.09 ms
64 bytes from 10.27.20.10: icmp_seq=48 ttl=58 time=3.74 ms
64 bytes from 10.27.20.10: icmp_seq=49 ttl=58 time=3.70 ms
64 bytes from 10.27.20.10: icmp_seq=50 ttl=58 time=3.03 ms
64 bytes from 10.27.20.10: icmp_seq=51 ttl=58 time=0.854 ms
64 bytes from 10.27.20.10: icmp_seq=52 ttl=58 time=0.710 ms
64 bytes from 10.27.20.10: icmp_seq=53 ttl=58 time=0.601 ms
64 bytes from 10.27.20.10: icmp_seq=54 ttl=58 time=1.75 ms
64 bytes from 10.27.20.10: icmp_seq=55 ttl=58 time=2.68 ms
64 bytes from 10.27.20.10: icmp_seq=56 ttl=58 time=1.04 ms
64 bytes from 10.27.20.10: icmp_seq=57 ttl=58 time=0.972 ms
64 bytes from 10.27.20.10: icmp_seq=58 ttl=58 time=1.21 ms
64 bytes from 10.27.20.10: icmp_seq=59 ttl=58 time=1.60 ms
64 bytes from 10.27.20.10: icmp_seq=60 ttl=58 time=5.06 ms
64 bytes from 10.27.20.10: icmp_seq=61 ttl=58 time=1.12 ms
